player_fotmob_id,season_start,name,team,role,fantavoto_medio,n_votes,n_matches,match_method
1526283,2023,Corazza,Bologna,DEF,5.8,5,5,last_name_team_role_season
149219,2023,Kabasele,Udinese,DEF,5.8,10,10,last_name_team_role_season
500502,2023,Masina,Torino,DEF,5.8,15,15,last_name_team_role_season
740161,2023,Okereke,Torino,FWD,5.8,5,5,last_name_team_role_season
,2023,Van Hooijdonk,Bologna,FWD,5.786,7,7,unmatched
862467,2023,Vinagre,Verona,DEF,5.786,7,7,last_name_team_role_season
616170,2023,Erlic,Sassuolo,DEF,5.781,32,32,last_name_team_role_season
850295,2023,Zerbin,Monza,MID,5.781,16,16,last_name_team_role_season
1209987,2023,Bondo,Monza,MID,5.78,25,25,last_name_team_role_season
485047,2023,Hateboer,Atalanta,DEF,5.778,18,18,last_name_team_role_season
154245,2023,Caldirola,Monza,DEF,5.776,29,29,last_name_team_role_season
618698,2023,Gelli,Frosinone,MID,5.775,20,20,last_name_team_role_season
1053714,2023,Zalewski,Roma,MID,5.773,22,22,last_name_role
575364,2023,Grassi,Empoli,MID,5.769,26,26,last_name_team_role_season
1130330,2023,Doig,Sassuolo,DEF,5.768,28,28,last_name_team_role_season
807148,2023,Pellegrini Lu.,Lazio,DEF,5.765,17,17,last_name_team_role_season
1210943,2023,Tchatchoua,Verona,MID,5.76,25,25,last_name_team_role_season
1416600,2023,Ankeye,Genoa,FWD,5.75,2,2,last_name_team_role_season
605848,2023,Blin,Lecce,MID,5.75,28,28,last_name_team_role_season
1337009,2023,Bonfanti,Atalanta,DEF,5.75,2,2,last_name_team_role_season
,2023,Bonifazi,Frosinone,DEF,5.75,6,6,unmatched
,2023,Bronn,Salernitana,DEF,5.75,2,2,unmatched
1529222,2023,Comuzzo,Fiorentina,DEF,5.75,2,2,last_name_team_role_season
750734,2023,Dodo',Fiorentina,DEF,5.75,6,6,last_name_team_role_season
,2023,Dominguez,Bologna,MID,5.75,2,2,unmatched
1190029,2023,Kristensen T.,Udinese,DEF,5.75,26,26,last_name_team_role_season
1342748,2023,Kvernadze,Frosinone,FWD,5.75,2,2,last_name_team_role_season
1307979,2023,Missori,Sassuolo,DEF,5.75,6,6,last_name_team_role_season
1235421,2023,Oyono,Frosinone,DEF,5.75,14,14,last_name_team_role_season
,2023,Romero L.,Milan,MID,5.75,2,2,unmatched
875672,2023,Traore' Hj.,Napoli,MID,5.75,8,8,last_name_team_role_season
916710,2023,Zanoli,Salernitana,DEF,5.75,18,18,last_name_role
1200630,2023,De Winter,Genoa,DEF,5.741,29,29,last_name_team_role_season
282731,2023,Mario Rui,Napoli,DEF,5.737,19,19,last_name_team_role_season
660010,2023,Pereira P.,Monza,DEF,5.737,19,19,last_name_team_role_season
921594,2023,Bradaric,Salernitana,DEF,5.735,34,34,last_name_role
1060654,2023,Ebosele,Udinese,DEF,5.733,30,30,last_name_team_role_season
426393,2023,Tameze,Torino,MID,5.732,28,28,last_name_team_role_season
478447,2023,Marusic,Lazio,DEF,5.73,37,37,last_name_team_role_season
1352923,2023,Barrenechea,Frosinone,MID,5.729,35,35,last_name_team_role_season
1299869,2023,Kaba,Lecce,MID,5.727,22,22,last_name_team_role_season
1019567,2023,Dani Silva,Verona,MID,5.722,9,9,last_name_team_role_season
,2023,Krunic,Milan,MID,5.722,9,9,unmatched
,2023,Ranocchia F.,Empoli,MID,5.722,9,9,unmatched
1402629,2023,Shpendi S.,Empoli,FWD,5.722,9,9,last_name_team_role_season
762028,2023,Ramadani,Lecce,MID,5.721,34,34,last_name_team_role_season
935622,2023,Pedersen,Sassuolo,DEF,5.717,23,23,last_name_role
799230,2023,Baschirotto,Lecce,DEF,5.716,37,37,last_name_team_role_season
1030945,2023,Gomis I.,Salernitana,MID,5.7,5,5,last_name_team_role_season
,2023,Hefti,Genoa,DEF,5.7,5,5,unmatched
722207,2023,Kristensen,Roma,DEF,5.692,26,26,last_name_team_role_season
361403,2023,Linetty,Torino,MID,5.692,26,26,last_name_team_role_season
1188375,2023,Natan,Napoli,DEF,5.692,13,13,last_name_team_role_season
526450,2023,Gyasi,Empoli,MID,5.69,29,29,last_name_team_role_season
130155,2023,D'Ambrosio,Monza,DEF,5.688,24,24,last_name_team_role_season
1179368,2023,Sazonov,Torino,DEF,5.688,8,8,last_name_team_role_season
801120,2023,Cajuste,Napoli,MID,5.682,22,22,last_name_team_role_season
562062,2023,Castillejo,Sassuolo,MID,5.682,11,11,last_name_team_role_season
750880,2023,Ismajli,Empoli,DEF,5.68,25,25,last_name_team_role_season
127374,2023,Toloi,Atalanta,DEF,5.679,14,14,last_name_team_role_season
660887,2023,Centonze,Verona,DEF,5.667,9,9,last_name_team_role_season
1128951,2023,Cruz,Verona,FWD,5.667,3,3,last_name_team_role_season
951711,2023,Di Pardo,Cagliari,DEF,5.667,9,9,last_name_team_role_season
1200022,2023,Infantino,Fiorentina,MID,5.667,3,3,last_name_team_role_season
197352,2023,Juan Jesus,Napoli,DEF,5.667,24,24,last_name_team_role_season
181910,2023,Perin,Juventus,GK,5.667,3,3,last_name_team_role_season
789243,2023,Maleh,Empoli,MID,5.662,34,34,last_name_team_role_season
919671,2023,Cacace,Empoli,DEF,5.661,28,28,last_name_team_role_season
1083562,2023,Cabal,Verona,DEF,5.658,19,19,last_name_role
614207,2023,Lopez M.,Fiorentina,MID,5.656,16,16,last_name_team_role_season
1229761,2023,Legowski,Salernitana,MID,5.652,23,23,last_name_team_role_season
293160,2023,Hysaj,Lazio,DEF,5.65,20,20,last_name_team_role_season
833024,2023,Coulibaly L.,Salernitana,MID,5.648,27,27,last_name_team_role_season
860592,2023,Walukiewicz,Empoli,DEF,5.648,27,27,last_name_team_role_season
279879,2023,Akpa Akpro,Monza,MID,5.643,14,14,last_name_team_role_season
848951,2023,Ceide,Sassuolo,FWD,5.643,7,7,last_name_team_role_season
315235,2023,Giannetti L.,Udinese,DEF,5.643,7,7,last_name_team_role_season
1093285,2023,Parisi,Fiorentina,DEF,5.643,21,21,last_name_team_role_season
675327,2023,Mazzocchi,Salernitana,DEF,5.64,25,25,last_name_role_season
41618,2023,Sommer,Inter,GK,5.632,34,34,last_name_team_role_season
109338,2023,Faraoni,Verona,DEF,5.625,16,16,last_name_team_role
301023,2023,Izzo,Monza,DEF,5.625,20,20,last_name_team_role_season
1006676,2023,Okoli,Frosinone,DEF,5.618,34,34,last_name_team_role_season
915238,2023,Makoumbou,Cagliari,MID,5.609,32,32,last_name_team_role_season
766611,2023,Milenkovic,Fiorentina,DEF,5.6,30,30,last_name_team_role_season
,2023,Vina,Sassuolo,DEF,5.6,15,15,unmatched
406505,2023,Dawidowicz,Verona,DEF,5.596,26,26,last_name_team_role_season
506309,2023,Ferrari G.,Sassuolo,DEF,5.593,27,27,last_name_team_role_season
449283,2023,Deiola,Cagliari,MID,5.591,22,22,last_name_team_role_season
154249,2023,Destro,Empoli,FWD,5.591,11,11,last_name_team_role_season
867789,2023,Valeri,Frosinone,DEF,5.567,15,15,last_name_role
,2023,Amione,Verona,DEF,5.562,8,8,unmatched
814398,2023,Casale,Lazio,DEF,5.553,19,19,last_name_team_role_season
1072257,2023,Ferreira J.,Udinese,DEF,5.55,30,30,last_name_team_role_season
1050165,2023,Pirola,Salernitana,DEF,5.54,25,25,last_name_team_role_season
362121,2023,Goldaniga,Cagliari,DEF,5.538,13,13,last_name_role
,2023,Amatucci,Fiorentina,MID,5.5,1,1,unmatched
,2023,Beto,Udinese,FWD,5.5,1,1,unmatched
,2023,Caldara,Milan,DEF,5.5,1,1,unmatched
,2023,Guessand A.,Udinese,DEF,5.5,1,1,unmatched
915156,2023,Mandas,Lazio,GK,5.5,8,8,last_name_team_role_season
163919,2023,Obiang,Sassuolo,MID,5.5,7,7,last_name_team_role_season
364515,2023,Perilli,Verona,GK,5.5,1,1,last_name_team_role_season
,2023,Pezzella Giu.,Empoli,DEF,5.5,15,15,unmatched
917779,2023,Solbakken,Roma,FWD,5.5,1,1,last_name_role
555646,2023,Wieteska,Cagliari,DEF,5.5,15,15,last_name_team_role_season
766062,2023,Di Gregorio,Monza,GK,5.47,33,33,last_name_team_role_season
660132,2023,Hatzidiakos,Cagliari,DEF,5.462,13,13,last_name_team_role_season
1047570,2023,Lovato,Salernitana,DEF,5.447,19,19,last_name_role_season
169718,2023,Szczesny,Juventus,GK,5.429,35,35,last_name_team_role_season
519192,2023,Venuti,Lecce,DEF,5.417,6,6,last_name_team_role_season
,2023,Bourabia,Frosinone,MID,5.4,5,5,unmatched
1137407,2023,Thiaw,Milan,DEF,5.4,20,20,last_name_team_role_season
768474,2023,Svilar,Roma,GK,5.367,15,15,last_name_team_role_season
1072472,2023,Daniliuc,Salernitana,DEF,5.364,11,11,last_name_role
651435,2023,Basic,Salernitana,MID,5.357,14,14,last_name_team_role_season
841910,2023,Pasalidis,Salernitana,DEF,5.357,7,7,last_name_team_role_season
,2023,Puscas,Genoa,FWD,5.333,3,3,unmatched
792653,2023,Touba,Lecce,DEF,5.333,6,6,last_name_team_role_season
178732,2023,Skorupski,Bologna,GK,5.328,32,32,last_name_team_role_season
1289961,2023,Obert,Cagliari,DEF,5.308,13,13,last_name_team_role_season
1237690,2023,Pellegrino,Salernitana,DEF,5.3,10,10,last_name_team_role_season
1013021,2023,Carnesecchi,Atalanta,GK,5.296,27,27,last_name_team_role_season
281762,2023,Terracciano,Fiorentina,GK,5.258,33,33,last_name_team_role_season
602845,2023,Audero,Inter,GK,5.25,4,4,last_name_team_role_season
213299,2023,Leali,Genoa,GK,5.25,2,2,last_name_team_role_season
543021,2023,Milinkovic-Savic V.,Torino,GK,5.236,36,36,last_name_team_role_season
958422,2023,Caprile,Empoli,GK,5.217,23,23,last_name_team_role_season
,2023,Botheim,Salernitana,FWD,5.2,5,5,unmatched
364822,2023,Provedel,Lazio,GK,5.133,30,30,last_name_team_role_season
,2023,Tressoldi,Sassuolo,DEF,5.13,23,23,unmatched
291655,2023,Gyomber,Salernitana,DEF,5.068,22,22,last_name_team_role_season
389050,2023,Musso,Atalanta,GK,5.045,11,11,last_name_team_role_season
150747,2023,Berisha,Empoli,GK,5.036,14,14,last_name_team_role_season
39226,2023,Aresti,Cagliari,GK,5.0,1,1,last_name_team_role_season
